ward_no,ward_name,population,centroid_latitude,centroid_longitude,nearest_library_id,nearest_library_name,distance_m_to_nearest_library,walk_minutes_to_nearest_library,nearest_transit_stop_m,walk_minutes_to_nearest_transit_stop,nearest_transit_corridor_m,walk_minutes_to_nearest_transit_corridor,transit_proxy_minutes_to_nearest_library,best_walk_or_transit_proxy_minutes,routing_tier,confidence,notes
48,48 RAMOL HATHIJAN,398701,22.9576447,72.6481986,ahmedabad_library_017,Kavi RAManlal Vashantbhai Desai Muni.Library,3482.3,43.5,3826.1,47.8,618.2,7.7,78.1,43.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
47,47 VATVA,216143,22.9497481,72.6178073,ahmedabad_library_017,Kavi RAManlal Vashantbhai Desai Muni.Library,2902.1,36.3,3290.2,41.1,170.7,2.1,75.1,36.3,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
46,46 LAMBHA,454996,22.9500245,72.5649178,ahmedabad_library_019,Kaniyalal NathurAM Bhil Muni.Library,6049.4,75.6,3591.5,44.9,1224.9,15.3,82.7,75.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
45,45 ISANPUR,163564,22.9797682,72.6000275,ahmedabad_library_064,Maneklal Jethalal Public Library,1512.2,18.9,458.0,5.7,55.4,0.7,27.1,18.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
44,44 KHOKHRA,151398,22.9956585,72.6159301,ahmedabad_library_026,Manishankar Ratanji Bhatt Muni Library,361.4,4.5,441.0,5.5,81.1,1.0,23.7,4.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
43,43 BHAIPURA HATKESHWAR,71064,22.9945240,72.6278872,ahmedabad_library_025,Kaka Kalekar Muni.Library.,634.8,7.9,381.2,4.8,130.5,1.6,19.5,7.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
42,42 INDRAPURI,125522,23.0007004,72.6389657,ahmedabad_library_025,Kaka Kalekar Muni.Library.,1170.7,14.6,341.7,4.3,124.4,1.6,21.4,14.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
41,41 VASTRAL,240844,23.0020908,72.6687658,ahmedabad_library_020,Umashankar Joshi Muni.Library,2525.0,31.6,557.8,7.0,149.2,1.9,36.1,31.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
40,40 ODHAV,238650,23.0232655,72.6611797,ahmedabad_library_020,Umashankar Joshi Muni.Library,49.9,0.6,2339.3,29.2,59.4,0.7,54.4,0.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
39,39 AMRAIWADI,156080,23.0099174,72.6241097,ahmedabad_library_023,Narsinhrav divetiya Muni.Library,198.2,2.5,493.4,6.2,80.0,1.0,19.1,2.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
38,38 GOMTIPUR,168981,23.0189671,72.6173707,ahmedabad_library_027,Pannalal Patel Muni Library,351.8,4.4,923.2,11.5,179.5,2.2,28.8,4.4,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
37,37 MANINAGAR,192746,22.9996646,72.6020731,ahmedabad_library_006,GorvardhanrAM Tripathi Muni Library,167.3,2.1,111.5,1.4,8.0,0.1,14.2,2.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
36,36 DANILIMDA,146073,22.9971123,72.5879179,ahmedabad_library_019,Kaniyalal NathurAM Bhil Muni.Library,1293.4,16.2,484.6,6.1,118.8,1.5,25.0,16.2,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
35,35 BAHERAMPURA,283226,22.9877414,72.5696224,ahmedabad_library_019,Kaniyalal NathurAM Bhil Muni.Library,1889.4,23.6,867.4,10.8,155.8,1.9,32.0,23.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
34,34 MAKTAMPURA,190449,22.9548893,72.5169000,ahmedabad_library_005,Dr.Shyama Prashad Mukharji,6420.2,80.3,5200.1,65.0,1487.8,18.6,105.3,80.3,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
33,33 SARKHEJ,246571,22.9887909,72.4920050,ahmedabad_library_051,Vasantbhai Rami Library,4274.9,53.4,4065.2,50.8,178.0,2.2,89.0,53.4,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
32,32 VEJALPUR,65763,23.0053931,72.5247579,ahmedabad_library_005,Dr.Shyama Prashad Mukharji,930.4,11.6,648.2,8.1,56.6,0.7,29.2,11.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
31,31 VASNA,164876,22.9971956,72.5471927,ahmedabad_library_044,"Surishwar Library,Vasana Branch Libarary",1026.8,12.8,997.3,12.5,3.3,0.0,27.5,12.8,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
30,30 PALDI,208435,23.0113723,72.5626182,ahmedabad_library_044,"Surishwar Library,Vasana Branch Libarary",1205.0,15.1,361.6,4.5,1.7,0.0,20.3,15.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
29,29 JAMALPUR,107290,23.0214826,72.5806121,ahmedabad_library_077,Ahmedabad Bar Association Advocate Library,206.0,2.6,168.0,2.1,38.2,0.5,15.3,2.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
28,28 KHADIA,138978,23.0217231,72.5943709,ahmedabad_library_004,"B.N.Library,Raipur",78.6,1.0,421.9,5.3,351.2,4.4,20.4,1.0,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
27,27 SARASPUR-RAKHIYAL,152154,23.0298006,72.6152730,ahmedabad_library_061,"sureshBhai Ramkumar Joshi Library,Sarspur",477.8,6.0,1358.4,17.0,109.0,1.4,37.9,6.0,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
26,26 BAPUNAGAR,141655,23.0324887,72.6308834,ahmedabad_library_015,Ishawarlal Kachrabhai Parmar Muni.Library,719.3,9.0,859.2,10.7,152.2,1.9,29.5,9.0,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
25,25 VIRATNAGAR,173832,23.0288754,72.6444972,ahmedabad_library_072,Kavi Ramanlal Vasantlal Desai Muncipal Library,356.0,4.5,600.9,7.5,35.0,0.4,26.3,4.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
24,24 NIKOL,316672,23.0478725,72.6710715,ahmedabad_library_058,Thakkarbapanagar Library,2524.4,31.6,3015.0,37.7,101.7,1.3,65.2,31.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
23,23 THAKKARBAPANAGAR,134048,23.0494745,72.6491212,ahmedabad_library_058,Thakkarbapanagar Library,309.4,3.9,773.4,9.7,120.4,1.5,27.2,3.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
22,22 INDIA COLONY,190489,23.0436938,72.6231246,ahmedabad_library_043,"Kavi Shree ManBhatt Premanand Library,Naroda",581.9,7.3,1629.3,20.4,386.6,4.8,45.8,7.3,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
21,21 DARIYAPUR,63486,23.0339900,72.5892260,ahmedabad_library_050,RA.B.GI.U Library,295.6,3.7,628.3,7.9,160.0,2.0,22.8,3.7,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
20,20 JODHPUR,53905,23.0189744,72.5078371,ahmedabad_library_051,Vasantbhai Rami Library,1291.7,16.1,991.6,12.4,132.4,1.7,40.8,16.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
19,19 BODAKDEV,33394,23.0354879,72.5064044,ahmedabad_library_054,"MakrantBhai desai Library,Bodakdev",1483.8,18.5,486.4,6.1,358.5,4.5,30.0,18.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
18,18 NAVRANGPURA,441868,23.0304380,72.5526663,ahmedabad_library_081,Lilavati Lalbhai Library,802.2,10.0,1139.5,14.2,137.8,1.7,32.9,10.0,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
17,17 SHAHPUR,144688,23.0473757,72.5828572,ahmedabad_library_007,Jayotindra Dave Muni Library,529.6,6.6,836.2,10.5,14.7,0.2,25.2,6.6,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
16,16 SHAHIBAG,132549,23.0500134,72.5986766,ahmedabad_library_014,Jethabhai Garden Muni.Library,231.5,2.9,476.4,6.0,234.5,2.9,22.7,2.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
15,15 ASARWA,106915,23.0497817,72.6130887,ahmedabad_library_043,"Kavi Shree ManBhatt Premanand Library,Naroda",886.7,11.1,402.0,5.0,65.6,0.8,26.7,11.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
14,14 KUBERNAGR,66744,23.0694552,72.6345261,ahmedabad_library_053,"Kanaiyalal Nathuram Library,Kubernagar",1060.2,13.3,995.5,12.4,197.9,2.5,35.9,13.3,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
13,13 SAIJPUR BOGHA,123158,23.0607326,72.6391311,ahmedabad_library_056,Saijpur Library,333.8,4.2,403.1,5.0,5.3,0.1,24.4,4.2,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
12,12 NARODA,228126,23.0802599,72.6713093,ahmedabad_library_008,Patel.K.K.Muni Library,1616.1,20.2,1028.0,12.8,59.2,0.7,34.0,20.2,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
11,11 SARDARNAGAR,36189,23.0893931,72.6434315,ahmedabad_library_038,Radhakishan Sharma Muni.Library,1522.4,19.0,1863.4,23.3,135.5,1.7,46.8,19.0,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
10,10 S.P.STADIUM,110415,23.0580015,72.5747302,ahmedabad_library_001,Chandrakant Baxi Library,1033.7,12.9,1075.8,13.4,95.8,1.2,33.9,12.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
09,09 NARANPURA,27964,23.0574689,72.5520355,ahmedabad_library_041,Sheth Maneklal Jethalal Sanchalit Library,426.9,5.3,1051.8,13.1,121.6,1.5,35.5,5.3,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
08,08 THALTEJ,45573,23.0623849,72.4910391,ahmedabad_library_079,Harivallabhdas Kalidas Library,3481.7,43.5,2120.0,26.5,1184.9,14.8,57.4,43.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
07,07 GHATLODIA,11749,23.0696794,72.5454033,ahmedabad_library_039,Pandit Dindayal Upadhyay Muni.Library,540.9,6.8,1412.6,17.7,3.5,0.0,41.1,6.8,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
06,06 NEW WADAJ,22015,23.0706049,72.5648137,ahmedabad_library_001,Chandrakant Baxi Library,805.1,10.1,341.8,4.3,105.9,1.3,23.7,10.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
05,05 RANIP,29419,23.0875568,72.5705026,ahmedabad_library_031,Mahatmagandhi Muni Library,2031.9,25.4,565.5,7.1,256.6,3.2,30.5,25.4,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
04,04 SABARMATI,42869,23.0921213,72.5960912,ahmedabad_library_031,Mahatmagandhi Muni Library,1160.0,14.5,286.6,3.6,205.6,2.6,23.1,14.5,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
03,03 CHANDKHEDA,43591,23.1154279,72.5897906,ahmedabad_library_063,Gyan Bhandar,2632.7,32.9,672.0,8.4,59.4,0.7,38.0,32.9,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
02,02 CHANDLODIA,30681,23.1091860,72.5512389,ahmedabad_library_039,Pandit Dindayal Upadhyay Muni.Library,4731.4,59.1,2088.5,26.1,140.9,1.8,62.3,59.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
01,01 GOTA,44035,23.0997120,72.5191956,ahmedabad_library_039,Pandit Dindayal Upadhyay Muni.Library,4166.7,52.1,3671.0,45.9,897.8,11.2,85.6,52.1,ward_centroid_walk_and_transit_proxy,medium,"Ward centroid weighted by ward population_2020. Transit estimate is a proxy using nearest stop, 10 minute wait/transfer, straight-line in-vehicle distance adjusted by 1.35, and nearest stop at destination."
