category,year,content_key,language,label,url,context_text
civic_centres,,instruction-40,eng,List of City Civic centers,https://www.mjlibrary.in/assets/img/pdf/list_of_ccc.pdf,"a href=""assets/img/pdf/fees_stucture_eng.pdf"">Fee Structure (In English) Fee Structure (In Gujarati) List of City Civic centers"
civic_centres,,instruction-40,guj,List of City Civic centers,https://www.mjlibrary.in/assets/img/pdf/list_of_ccc.pdf,"a href=""assets/img/pdf/fees_stucture_eng.pdf"">Fee Structure (In English) Fee Structure (In Gujarati) List of City Civic centers"
fees,,instruction-40,eng,Fee Structure (In English),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_eng.pdf,OR Public Information Officer) Application Form ( In English) Application Form ( In Gujarati) Fee Structure (In English)
fees,,instruction-40,guj,Fee Structure (In English),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_eng.pdf,r OR Pub. Information Officer) Application Form ( In English) Application Form ( In Gujarati) Fee Structure (In English)
fees,,instruction-40,eng,Fee Structure (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_guj.pdf,pplication Form ( In English) Application Form ( In Gujarati) Fee Structure (In English) Fee Structure (In Gujarati)
fees,,instruction-40,guj,Fee Structure (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_guj.pdf,pplication Form ( In English) Application Form ( In Gujarati) Fee Structure (In English) Fee Structure (In Gujarati)
forms,,instruction-326,eng,Download,https://www.mjlibrary.in/assets/frontend/MJ-membership-and-Gaurantor-form.pdf,"ze:13px;line-height:20px;font-style:italic;"">Note: Download guarantor form, fill it, get it approved from guarantor ( list of guarantors office is given in the form) and upload it Download"
forms,,instruction-326,guj,ડાઉનલોડ,https://www.mjlibrary.in/assets/frontend/MJ-membership-and-Gaurantor-form.pdf,"Note:ગેરેંટર ફોર્મ ડાઉનલોડ કરો, તેને ભરો, તેને ગેરેંટરથી મંજૂરી આપો (ફોર્મમાં જણાવેલ ગેરેંટરની સૂચિ), અને તેને અપલોડ કરો ડાઉનલોડ"
forms,,instruction-40,eng,Application Form ( In English),https://www.mjlibrary.in/assets/img/pdf/admissionformeng.pdf,(NEW) (Applicant has to submit his application in prescribed form to the concerned Assistant Public Information Officer OR Public Information Officer) Application Form ( In English)
forms,,instruction-40,guj,Application Form ( In English),https://www.mjlibrary.in/assets/img/pdf/admissionformeng.pdf,t Officer (NEW) (Applicanthas to submit his application in prescribed form to the concerned Asstt. Pub.Information Officer OR Pub. Information Officer) Application Form ( In English)
proactive_disclosure,2015-16,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_lib_1516-min.pdf,entioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library.
proactive_disclosure,2015-16,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_lib_1516-min.pdf,entioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library.
proactive_disclosure,2016-17,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2016-17_mj%20library_final.pdf,"rt.pdf"">RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library. PRO ACTIVE DISCLOSURE 2016-17 - M.J.Library."
proactive_disclosure,2016-17,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2016-17_mj%20library_final.pdf,"rt.pdf"">RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library. PRO ACTIVE DISCLOSURE 2016-17 - M.J.Library."
proactive_disclosure,2017-18,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/_RTI_201718_MJ%20Library_Discloser.pdf,> PRO ACTIVE DISCLOSURE 2016-17 - M.J.Library. PRO ACTIVE DISCLOSURE 2017-18 - M.J.Library.
proactive_disclosure,2017-18,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/_RTI_201718_MJ%20Library_Discloser.pdf,> PRO ACTIVE DISCLOSURE 2016-17 - M.J.Library. PRO ACTIVE DISCLOSURE 2017-18 - M.J.Library.
proactive_disclosure,2018-19,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/_RTI_201819_MJ_LIBRARY%20(2).pdf,brary. PRO ACTIVE DISCLOSURE 2017-18 - M.J.Library. PRO ACTIVE DISCLOSURE 2018-19 - M.J.Library.
proactive_disclosure,2018-19,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/_RTI_201819_MJ_LIBRARY%20(2).pdf,brary. PRO ACTIVE DISCLOSURE 2017-18 - M.J.Library. PRO ACTIVE DISCLOSURE 2018-19 - M.J.Library.
proactive_disclosure,2019-20,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mjdiscloser2019.pdf,.J.Library. PRO ACTIVE DISCLOSURE 2018-19 - M.J.Library. PRO ACTIVE DISCLOSURE 2019-20 - M.J.Library.
proactive_disclosure,2019-20,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mjdiscloser2019.pdf,.J.Library. PRO ACTIVE DISCLOSURE 2018-19 - M.J.Library. PRO ACTIVE DISCLOSURE 2019-20 - M.J.Library.
proactive_disclosure,2020-21,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2020-2021.pdf,"Y%20(2).pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2019-20 - M.J.Library. PRO ACTIVE DISCLOSURE 2020-21 - M.J.Library."
proactive_disclosure,2020-21,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2020-2021.pdf,"IBRARY%20(2).pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2019-20 - M.J.Library. PRO ACTIVE DISCLOSURE 2020-21 - M.J.Library."
proactive_disclosure,2021-22,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2021_2022.pdf,"discloser2019.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2020-21 - M.J.Library. PRO ACTIVE DISCLOSURE 2021-22 - M.J.Library."
proactive_disclosure,2021-22,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2021_2022.pdf,"df/mjdiscloser2019.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2020-21 - M.J.Library. PRO ACTIVE DISCLOSURE 2021-22 - M.J.Library."
proactive_disclosure,2022-23,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2022_2023.pdf,"pdf/2020-2021.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2021-22 - M.J.Library. PRO ACTIVE DISCLOSURE 2022-23 - M.J.Library."
proactive_disclosure,2022-23,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/2022_2023.pdf,"pdf/2020-2021.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2021-22 - M.J.Library. PRO ACTIVE DISCLOSURE 2022-23 - M.J.Library."
proactive_disclosure,2023-24,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/MJ_Library_Discloser_2023.pdf,"pdf/2021_2022.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2022-23 - M.J.Library. PRO ACTIVE DISCLOSURE 2023-24 - M.J.Library."
proactive_disclosure,2023-24,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/MJ_Library_Discloser_2023.pdf,"pdf/2021_2022.pdf"">M.J.Library. PRO ACTIVE DISCLOSURE 2022-23 - M.J.Library. PRO ACTIVE DISCLOSURE 2023-24 - M.J.Library."
proactive_disclosure,2024-25,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/MJLibraryDiscloser_07_06_2024.pdf,"f"">M.J.Library. PRO ACTIVE DISCLOSURE 2023-24 - M.J.Library. PRO ACTIVE DISCLOSURE 2024-25 - M.J.Library."
proactive_disclosure,2024-25,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/MJLibraryDiscloser_07_06_2024.pdf,"f"">M.J.Library. PRO ACTIVE DISCLOSURE 2023-24 - M.J.Library. PRO ACTIVE DISCLOSURE 2024-25 - M.J.Library."
proactive_disclosure,2025-26,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2025-26.pdf,.J.Library. PRO ACTIVE DISCLOSURE 2024-25 - M.J.Library. PRO ACTIVE DISCLOSURE 2025-26 - M.J.Library.
proactive_disclosure,2025-26,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2025-26.pdf,.J.Library. PRO ACTIVE DISCLOSURE 2024-25 - M.J.Library. PRO ACTIVE DISCLOSURE 2025-26 - M.J.Library.
rti_annual_report,,instruction-40,eng,RTI Annual Report,https://www.mjlibrary.in/assets/img/pdf/annual_report.pdf,""">List of City Civic centers (Applicant has to submit his application at any Civic Centers, mentioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report"
rti_annual_report,,instruction-40,guj,RTI Annual Report,https://www.mjlibrary.in/assets/img/pdf/annual_report.pdf,""">List of City Civic centers (Applicant has to submit his application at any Civic Centers, mentioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report"
rti_officers,,instruction-40,eng,List of the P.I.O. & Applet Officer,https://www.mjlibrary.in/assets/img/pdf/listappofficer.pdf,Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati) List of the P.I.O. & Applet Officer
rti_officers,,instruction-40,guj,List of the P.I.O. & Applet Officer,https://www.mjlibrary.in/assets/img/pdf/listappofficer.pdf,Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati) List of the P.I.O. & Applet Officer
rti_officers,,instruction-40,eng,List of the P.I.O. & Applet Officer (NEW),https://www.mjlibrary.in/assets/img/pdf/listpionew.pdf,"i.pdf"">The Guj. Govt. Gazette on Rules And Orders (In Gujarati) List of the P.I.O. & Applet Officer List of the P.I.O. & Applet Officer (NEW)"
rti_officers,,instruction-40,guj,List of the P.I.O. & Applet Officer (NEW),https://www.mjlibrary.in/assets/img/pdf/listpionew.pdf,"i.pdf"">The Guj. Govt. Gazette on Rules And Orders (In Gujarati) List of the P.I.O. & Applet Officer List of the P.I.O. & Applet Officer (NEW)"
rules_orders,,instruction-40,eng,G A D NOTIFICATION,https://www.mjlibrary.in/assets/img/pdf/gad.pdf,"005.pdf"">Right To Information Act 2005 (Govt. of India) Right To Information Act 2005 (In Gujarati) G A D NOTIFICATION"
rules_orders,,instruction-40,guj,G A D NOTIFICATION,https://www.mjlibrary.in/assets/img/pdf/gad.pdf,"005.pdf"">Right To Information Act 2005 (Govt. of India) Right To Information Act 2005 (In Gujarati) G A D NOTIFICATION"
rules_orders,,instruction-40,eng,The Guj. Govt. Gazette on Rules And Orders(In English),https://www.mjlibrary.in/assets/img/pdf/goggazzateeng.pdf,. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati) The Guj. Govt. Gazette on Rules And Orders(In English)
rules_orders,,instruction-40,guj,The Guj. Govt. Gazette on Rules And Orders(In English),https://www.mjlibrary.in/assets/img/pdf/goggazzateeng.pdf,. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati) The Guj. Govt. Gazette on Rules And Orders(In English)
rules_orders,,instruction-40,eng,Right To Information Act 2005 (Govt. of India),https://www.mjlibrary.in/assets/img/pdf/rightofinformationact2005.pdf,Right To Information Act 2005 (Govt. of India)
rules_orders,,instruction-40,guj,Right To Information Act 2005 (Govt. of India),https://www.mjlibrary.in/assets/img/pdf/rightofinformationact2005.pdf,Right To Information Act 2005 (Govt. of India)
rules_orders,,instruction-40,eng,Right To Information Act 2005 (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rtiact2005gujarati.pdf,Right To Information Act 2005 (Govt. of India) Right To Information Act 2005 (In Gujarati)
rules_orders,,instruction-40,guj,Right To Information Act 2005 (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rtiact2005gujarati.pdf,Right To Information Act 2005 (Govt. of India) Right To Information Act 2005 (In Gujarati)
rules_orders,,instruction-40,eng,The Guj. Govt. Gazette on Rules And Orders (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rtirulegujarati.pdf,. Govt. Gazette on Rules And Orders (In Gujarati) The Guj. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati)
rules_orders,,instruction-40,guj,The Guj. Govt. Gazette on Rules And Orders (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rtirulegujarati.pdf,. Govt. Gazette on Rules And Orders (In Gujarati) The Guj. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati)
rules_orders,,instruction-40,eng,The Guj. Govt. Gazette on Rules And Orders(In English),https://www.mjlibrary.in/assets/img/pdf/rulesorder.pdf,Right To Information Act 2005 (In Gujarati) G A D NOTIFICATION The Guj. Govt. Gazette on Rules And Orders(In English)
rules_orders,,instruction-40,guj,The Guj. Govt. Gazette on Rules And Orders(In English),https://www.mjlibrary.in/assets/img/pdf/rulesorder.pdf,Right To Information Act 2005 (In Gujarati) G A D NOTIFICATION The Guj. Govt. Gazette on Rules And Orders(In English)
rules_orders,,instruction-40,eng,The Guj. Govt. Gazette on Rules And Orders (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rulesorderguj.pdf,G A D NOTIFICATION The Guj. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati)
rules_orders,,instruction-40,guj,The Guj. Govt. Gazette on Rules And Orders (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/rulesorderguj.pdf,G A D NOTIFICATION The Guj. Govt. Gazette on Rules And Orders(In English) The Guj. Govt. Gazette on Rules And Orders (In Gujarati)
